file,emotion
train_00006_aligned.jpg,surprise
train_00010_aligned.jpg,surprise
train_00012_aligned.jpg,surprise
train_00013_aligned.jpg,surprise
train_00032_aligned.jpg,surprise
train_00034_aligned.jpg,surprise
train_00043_aligned.jpg,surprise
train_00044_aligned.jpg,surprise
train_00053_aligned.jpg,surprise
train_00062_aligned.jpg,surprise
train_00068_aligned.jpg,surprise
train_00069_aligned.jpg,surprise
train_00072_aligned.jpg,surprise
train_00091_aligned.jpg,surprise
train_00104_aligned.jpg,surprise
train_00106_aligned.jpg,surprise
train_00107_aligned.jpg,surprise
train_00110_aligned.jpg,surprise
train_00111_aligned.jpg,surprise
train_00112_aligned.jpg,surprise
train_00113_aligned.jpg,surprise
train_00114_aligned.jpg,surprise
train_00125_aligned.jpg,surprise
train_00126_aligned.jpg,surprise
train_00129_aligned.jpg,surprise
train_00136_aligned.jpg,surprise
train_00137_aligned.jpg,surprise
train_00147_aligned.jpg,surprise
train_00151_aligned.jpg,surprise
train_00154_aligned.jpg,surprise
train_00156_aligned.jpg,surprise
train_00166_aligned.jpg,surprise
train_00170_aligned.jpg,surprise
train_00175_aligned.jpg,surprise
train_00181_aligned.jpg,surprise
train_00182_aligned.jpg,surprise
train_00200_aligned.jpg,surprise
train_00204_aligned.jpg,surprise
train_00213_aligned.jpg,surprise
train_00223_aligned.jpg,surprise
train_00230_aligned.jpg,surprise
train_00239_aligned.jpg,surprise
train_00243_aligned.jpg,surprise
train_00247_aligned.jpg,surprise
train_00259_aligned.jpg,surprise
train_00261_aligned.jpg,surprise
train_00270_aligned.jpg,surprise
train_00278_aligned.jpg,surprise
train_00297_aligned.jpg,surprise
train_00304_aligned.jpg,surprise
train_00323_aligned.jpg,surprise
train_00324_aligned.jpg,surprise
train_00328_aligned.jpg,surprise
train_00341_aligned.jpg,surprise
train_00343_aligned.jpg,surprise
train_00354_aligned.jpg,surprise
train_00359_aligned.jpg,surprise
train_00372_aligned.jpg,surprise
train_00379_aligned.jpg,surprise
train_00380_aligned.jpg,surprise
train_00383_aligned.jpg,surprise
train_00399_aligned.jpg,surprise
train_00400_aligned.jpg,surprise
train_00408_aligned.jpg,surprise
train_00424_aligned.jpg,surprise
train_00442_aligned.jpg,surprise
train_00450_aligned.jpg,surprise
train_00463_aligned.jpg,surprise
train_00465_aligned.jpg,surprise
train_00474_aligned.jpg,surprise
train_00482_aligned.jpg,surprise
train_00507_aligned.jpg,surprise
train_00509_aligned.jpg,surprise
train_00520_aligned.jpg,surprise
train_00539_aligned.jpg,surprise
train_00543_aligned.jpg,surprise
train_00568_aligned.jpg,surprise
train_00572_aligned.jpg,surprise
train_00576_aligned.jpg,surprise
train_00577_aligned.jpg,surprise
train_00584_aligned.jpg,surprise
train_00586_aligned.jpg,surprise
train_00589_aligned.jpg,surprise
train_00590_aligned.jpg,surprise
train_00602_aligned.jpg,surprise
train_00610_aligned.jpg,surprise
train_00618_aligned.jpg,surprise
train_00626_aligned.jpg,surprise
train_00628_aligned.jpg,surprise
train_00637_aligned.jpg,surprise
train_00638_aligned.jpg,surprise
train_00666_aligned.jpg,surprise
train_00670_aligned.jpg,surprise
train_00673_aligned.jpg,surprise
train_00675_aligned.jpg,surprise
train_00680_aligned.jpg,surprise
train_00682_aligned.jpg,surprise
train_00685_aligned.jpg,surprise
train_00694_aligned.jpg,surprise
train_00701_aligned.jpg,surprise
train_00716_aligned.jpg,surprise
train_00725_aligned.jpg,surprise
train_00726_aligned.jpg,surprise
train_00727_aligned.jpg,surprise
train_00728_aligned.jpg,surprise
train_00729_aligned.jpg,surprise
train_00742_aligned.jpg,surprise
train_00743_aligned.jpg,surprise
train_00748_aligned.jpg,surprise
train_00753_aligned.jpg,surprise
train_00756_aligned.jpg,surprise
train_00769_aligned.jpg,surprise
train_00771_aligned.jpg,surprise
train_00777_aligned.jpg,surprise
train_00778_aligned.jpg,surprise
train_00782_aligned.jpg,surprise
train_00785_aligned.jpg,surprise
train_00793_aligned.jpg,surprise
train_00803_aligned.jpg,surprise
train_00804_aligned.jpg,surprise
train_00837_aligned.jpg,surprise
train_00839_aligned.jpg,surprise
train_00848_aligned.jpg,surprise
train_00851_aligned.jpg,surprise
train_00852_aligned.jpg,surprise
train_00855_aligned.jpg,surprise
train_00856_aligned.jpg,surprise
train_00857_aligned.jpg,surprise
train_00864_aligned.jpg,surprise
train_00872_aligned.jpg,surprise
train_00879_aligned.jpg,surprise
train_00899_aligned.jpg,surprise
train_00902_aligned.jpg,surprise
train_00914_aligned.jpg,surprise
train_00930_aligned.jpg,surprise
train_00931_aligned.jpg,surprise
train_00942_aligned.jpg,surprise
train_00948_aligned.jpg,surprise
train_00966_aligned.jpg,surprise
train_00974_aligned.jpg,surprise
train_00977_aligned.jpg,surprise
train_00985_aligned.jpg,surprise
train_00993_aligned.jpg,surprise
train_01000_aligned.jpg,surprise
train_01003_aligned.jpg,surprise
train_01038_aligned.jpg,surprise
train_01044_aligned.jpg,surprise
train_01056_aligned.jpg,surprise
train_01077_aligned.jpg,surprise
train_01079_aligned.jpg,surprise
train_01086_aligned.jpg,surprise
train_01098_aligned.jpg,surprise
train_01099_aligned.jpg,surprise
train_01107_aligned.jpg,surprise
train_01109_aligned.jpg,surprise
train_01110_aligned.jpg,surprise
train_01112_aligned.jpg,surprise
train_01118_aligned.jpg,surprise
train_01120_aligned.jpg,surprise
train_01122_aligned.jpg,surprise
train_01124_aligned.jpg,surprise
train_01127_aligned.jpg,surprise
train_01130_aligned.jpg,surprise
train_01131_aligned.jpg,surprise
train_01137_aligned.jpg,surprise
train_01145_aligned.jpg,surprise
train_01149_aligned.jpg,surprise
train_01171_aligned.jpg,surprise
train_01174_aligned.jpg,surprise
train_01176_aligned.jpg,surprise
train_01209_aligned.jpg,surprise
train_01212_aligned.jpg,surprise
train_01213_aligned.jpg,surprise
train_01218_aligned.jpg,surprise
train_01221_aligned.jpg,surprise
train_01231_aligned.jpg,surprise
train_01240_aligned.jpg,surprise
train_01250_aligned.jpg,surprise
train_01257_aligned.jpg,surprise
train_01258_aligned.jpg,surprise
train_01264_aligned.jpg,surprise
train_01268_aligned.jpg,surprise
train_01276_aligned.jpg,surprise
train_01283_aligned.jpg,surprise
train_01289_aligned.jpg,surprise
train_01301_aligned.jpg,surprise
train_01306_aligned.jpg,surprise
train_01311_aligned.jpg,surprise
train_01316_aligned.jpg,surprise
train_01320_aligned.jpg,surprise
train_01324_aligned.jpg,surprise
train_01330_aligned.jpg,surprise
train_01342_aligned.jpg,surprise
train_01345_aligned.jpg,surprise
train_01356_aligned.jpg,surprise
train_01370_aligned.jpg,surprise
train_01380_aligned.jpg,surprise
train_01381_aligned.jpg,surprise
train_01387_aligned.jpg,surprise
train_01388_aligned.jpg,surprise
train_01399_aligned.jpg,surprise
train_01409_aligned.jpg,surprise
train_01420_aligned.jpg,surprise
train_01433_aligned.jpg,surprise
train_01435_aligned.jpg,surprise
train_01436_aligned.jpg,surprise
train_01438_aligned.jpg,surprise
train_01439_aligned.jpg,surprise
train_01441_aligned.jpg,surprise
train_01450_aligned.jpg,surprise
train_01452_aligned.jpg,surprise
train_01459_aligned.jpg,surprise
train_01463_aligned.jpg,surprise
train_01467_aligned.jpg,surprise
train_01468_aligned.jpg,surprise
train_01480_aligned.jpg,surprise
train_01483_aligned.jpg,surprise
train_01487_aligned.jpg,surprise
train_01492_aligned.jpg,surprise
train_01501_aligned.jpg,surprise
train_01506_aligned.jpg,surprise
train_01508_aligned.jpg,surprise
train_01536_aligned.jpg,surprise
train_01556_aligned.jpg,surprise
train_01561_aligned.jpg,surprise
train_01562_aligned.jpg,surprise
train_01566_aligned.jpg,surprise
train_01575_aligned.jpg,surprise
train_01577_aligned.jpg,surprise
train_01595_aligned.jpg,surprise
train_01599_aligned.jpg,surprise
train_01611_aligned.jpg,surprise
train_01645_aligned.jpg,surprise
train_01646_aligned.jpg,surprise
train_01656_aligned.jpg,surprise
train_01675_aligned.jpg,surprise
train_01676_aligned.jpg,surprise
train_01679_aligned.jpg,surprise
train_01688_aligned.jpg,surprise
train_01701_aligned.jpg,surprise
train_01725_aligned.jpg,surprise
train_01732_aligned.jpg,surprise
train_01739_aligned.jpg,surprise
train_01741_aligned.jpg,surprise
train_01748_aligned.jpg,surprise
train_01758_aligned.jpg,surprise
train_01759_aligned.jpg,surprise
train_01782_aligned.jpg,surprise
train_01783_aligned.jpg,surprise
train_01784_aligned.jpg,surprise
train_01785_aligned.jpg,surprise
train_01786_aligned.jpg,surprise
train_01787_aligned.jpg,surprise
train_01788_aligned.jpg,surprise
train_01789_aligned.jpg,surprise
train_01812_aligned.jpg,surprise
train_01827_aligned.jpg,surprise
train_01829_aligned.jpg,surprise
train_01831_aligned.jpg,surprise
train_01835_aligned.jpg,surprise
train_01838_aligned.jpg,surprise
train_01841_aligned.jpg,surprise
train_01881_aligned.jpg,surprise
train_01884_aligned.jpg,surprise
train_01899_aligned.jpg,surprise
train_01921_aligned.jpg,surprise
train_01923_aligned.jpg,surprise
train_01978_aligned.jpg,surprise
train_01992_aligned.jpg,surprise
train_02003_aligned.jpg,surprise
train_02011_aligned.jpg,surprise
train_02017_aligned.jpg,surprise
train_02088_aligned.jpg,surprise
train_02112_aligned.jpg,surprise
train_02127_aligned.jpg,surprise
train_02128_aligned.jpg,surprise
train_02133_aligned.jpg,surprise
train_02188_aligned.jpg,surprise
